Price,Review Scores Rating,Neighbourhood ,Property Type,Room Type
549,96.0,Manhattan,Apartment,Private room
149,100.0,Brooklyn,Apartment,Entire home/apt
250,100.0,Manhattan,Apartment,Entire home/apt
90,94.0,Brooklyn,Apartment,Private room
270,90.0,Manhattan,Apartment,Entire home/apt
290,96.0,Manhattan,Apartment,Entire home/apt
170,98.0,Brooklyn,Apartment,Entire home/apt
59,93.0,Manhattan,Apartment,Private room
49,91.0,Manhattan,Apartment,Private room
285,97.0,Manhattan,Apartment,Entire home/apt
75,95.0,Brooklyn,Apartment,Private room
145,99.0,Manhattan,Apartment,Private room
100,93.0,Queens,Apartment,Private room
150,85.0,Manhattan,Apartment,Entire home/apt
125,86.0,Manhattan,Apartment,Private room
40,100.0,Brooklyn,Apartment,Private room
89,93.0,Queens,Apartment,Entire home/apt
95,94.0,Queens,Apartment,Entire home/apt
99,100.0,Queens,Apartment,Entire home/apt
149,93.0,Manhattan,Apartment,Entire home/apt
499,80.0,Manhattan,Apartment,Entire home/apt
125,94.0,Brooklyn,Apartment,Private room
170,88.0,Manhattan,Apartment,Entire home/apt
120,92.0,Manhattan,Apartment,Private room
79,89.0,Manhattan,Apartment,Private room
125,97.0,Manhattan,Apartment,Entire home/apt
110,92.0,Brooklyn,Apartment,Entire home/apt
89,85.0,Brooklyn,Other,Private room
180,93.0,Brooklyn,Apartment,Entire home/apt
180,95.0,Brooklyn,Apartment,Entire home/apt
143,82.0,Manhattan,Apartment,Entire home/apt
230,89.0,Manhattan,Apartment,Entire home/apt
350,86.0,Manhattan,Apartment,Entire home/apt
135,86.0,Queens,Apartment,Entire home/apt
85,87.0,Manhattan,Apartment,Private room
85,91.0,Manhattan,Apartment,Private room
85,92.0,Manhattan,Apartment,Private room
60,81.0,Manhattan,Apartment,Private room
70,82.0,Manhattan,Apartment,Private room
55,86.0,Manhattan,Bed & Breakfast,Private room
44,100.0,Queens,Apartment,Private room
200,87.0,Manhattan,Apartment,Entire home/apt
175,95.0,Manhattan,Apartment,Entire home/apt
250,100.0,Manhattan,Apartment,Entire home/apt
165,96.0,Manhattan,Apartment,Entire home/apt
115,88.0,Brooklyn,Apartment,Entire home/apt
145,95.0,Manhattan,Apartment,Entire home/apt
200,86.0,Manhattan,Apartment,Entire home/apt
74,80.0,Brooklyn,Loft,Private room
84,100.0,Brooklyn,Loft,Private room
125,100.0,Manhattan,Apartment,Private room
129,92.0,Manhattan,Apartment,Entire home/apt
50,90.0,Brooklyn,Apartment,Private room
50,93.0,Brooklyn,Apartment,Private room
185,82.0,Brooklyn,Apartment,Entire home/apt
185,85.0,Brooklyn,Apartment,Entire home/apt
150,76.0,Brooklyn,Apartment,Entire home/apt
80,80.0,Manhattan,Apartment,Entire home/apt
190,89.0,Manhattan,Apartment,Entire home/apt
190,80.0,Manhattan,Apartment,Entire home/apt
190,80.0,Manhattan,Apartment,Entire home/apt
175,80.0,Manhattan,Apartment,Entire home/apt
190,93.0,Manhattan,Apartment,Entire home/apt
140,94.0,Manhattan,Apartment,Entire home/apt
140,95.0,Manhattan,Apartment,Entire home/apt
75,97.0,Manhattan,Apartment,Private room
45,95.0,Manhattan,Apartment,Shared room
45,95.0,Manhattan,Apartment,Shared room
135,95.0,Brooklyn,Apartment,Entire home/apt
100,86.0,Manhattan,Apartment,Entire home/apt
145,91.0,Manhattan,Apartment,Entire home/apt
135,94.0,Manhattan,Apartment,Entire home/apt
200,94.0,Manhattan,Apartment,Entire home/apt
65,100.0,Brooklyn,Apartment,Private room
165,100.0,Brooklyn,Apartment,Entire home/apt
145,94.0,Manhattan,Apartment,Entire home/apt
135,97.0,Manhattan,Apartment,Private room
225,89.0,Manhattan,Apartment,Entire home/apt
250,78.0,Manhattan,Apartment,Entire home/apt
250,85.0,Manhattan,Apartment,Entire home/apt
600,100.0,Manhattan,Loft,Entire home/apt
145,90.0,Brooklyn,Apartment,Entire home/apt
149,92.0,Brooklyn,Apartment,Entire home/apt
150,93.0,Brooklyn,Apartment,Entire home/apt
200,98.0,Manhattan,Apartment,Entire home/apt
150,95.0,Brooklyn,Apartment,Entire home/apt
175,100.0,Manhattan,Apartment,Entire home/apt
109,91.0,Manhattan,Apartment,Entire home/apt
1990,100.0,Manhattan,Condominium,Entire home/apt
80,100.0,Manhattan,Apartment,Shared room
73,85.0,Manhattan,Apartment,Private room
135,97.0,Brooklyn,Apartment,Entire home/apt
89,96.0,Brooklyn,House,Private room
89,92.0,Brooklyn,House,Private room
250,96.0,Brooklyn,Apartment,Entire home/apt
250,93.0,Brooklyn,Apartment,Entire home/apt
250,94.0,Brooklyn,Apartment,Entire home/apt
250,98.0,Brooklyn,House,Entire home/apt
240,100.0,Brooklyn,Apartment,Entire home/apt
165,91.0,Brooklyn,Apartment,Entire home/apt
90,90.0,Brooklyn,Apartment,Entire home/apt
105,88.0,Brooklyn,Apartment,Entire home/apt
155,88.0,Brooklyn,Apartment,Entire home/apt
160,94.0,Brooklyn,Apartment,Entire home/apt
89,94.0,Brooklyn,Apartment,Private room
99,93.0,Brooklyn,Apartment,Private room
42,81.0,Bronx,Apartment,Private room
42,87.0,Bronx,Apartment,Private room
132,88.0,Manhattan,Apartment,Private room
117,90.0,Manhattan,Apartment,Private room
135,92.0,Brooklyn,Apartment,Entire home/apt
125,91.0,Manhattan,Apartment,Entire home/apt
200,87.0,Manhattan,Apartment,Entire home/apt
250,92.0,Manhattan,Apartment,Entire home/apt
295,83.0,Manhattan,Bed & Breakfast,Entire home/apt
280,100.0,Manhattan,Apartment,Entire home/apt
75,85.0,Manhattan,Apartment,Private room
150,66.0,Manhattan,Apartment,Entire home/apt
125,100.0,Brooklyn,Apartment,Entire home/apt
230,100.0,Brooklyn,Apartment,Entire home/apt
110,98.0,Brooklyn,Apartment,Private room
159,84.0,Brooklyn,Apartment,Entire home/apt
160,80.0,Manhattan,Apartment,Entire home/apt
107,98.0,Manhattan,Apartment,Entire home/apt
50,80.0,Brooklyn,Apartment,Private room
69,97.0,Staten Island,House,Private room
110,83.0,Manhattan,Apartment,Entire home/apt
125,93.0,Brooklyn,Apartment,Entire home/apt
95,96.0,Manhattan,Apartment,Private room
95,95.0,Manhattan,Apartment,Private room
135,91.0,Manhattan,Loft,Entire home/apt
100,96.0,Manhattan,Apartment,Entire home/apt
200,95.0,Brooklyn,House,Entire home/apt
239,97.0,Brooklyn,House,Private room
220,97.0,Manhattan,Apartment,Entire home/apt
199,100.0,Brooklyn,Apartment,Entire home/apt
399,100.0,Manhattan,Apartment,Entire home/apt
130,86.0,Manhattan,Apartment,Entire home/apt
160,92.0,Manhattan,Apartment,Entire home/apt
135,96.0,Manhattan,Apartment,Entire home/apt
350,96.0,Manhattan,Apartment,Entire home/apt
375,98.0,Brooklyn,Condominium,Entire home/apt
225,81.0,Manhattan,Apartment,Entire home/apt
165,97.0,Manhattan,Apartment,Entire home/apt
585,96.0,Manhattan,Apartment,Entire home/apt
40,96.0,Brooklyn,Apartment,Private room
85,100.0,Brooklyn,Apartment,Private room
225,97.0,Manhattan,Apartment,Entire home/apt
110,96.0,Brooklyn,Apartment,Private room
125,96.0,Manhattan,Apartment,Private room
275,98.0,Brooklyn,Apartment,Entire home/apt
240,93.0,Manhattan,Apartment,Entire home/apt
175,91.0,Manhattan,Apartment,Entire home/apt
130,76.0,Brooklyn,Loft,Entire home/apt
130,91.0,Brooklyn,House,Private room
130,89.0,Brooklyn,House,Private room
130,86.0,Brooklyn,House,Private room
130,100.0,Brooklyn,House,Private room
120,93.0,Brooklyn,House,Private room
139,94.0,Brooklyn,Apartment,Entire home/apt
260,100.0,Brooklyn,Apartment,Entire home/apt
35,100.0,Brooklyn,House,Private room
185,96.0,Manhattan,Apartment,Entire home/apt
175,99.0,Brooklyn,Loft,Entire home/apt
150,97.0,Brooklyn,Apartment,Entire home/apt
150,100.0,Brooklyn,Apartment,Entire home/apt
175,96.0,Manhattan,Apartment,Entire home/apt
133,91.0,Manhattan,Apartment,Private room
375,96.0,Manhattan,Apartment,Entire home/apt
150,91.0,Brooklyn,Apartment,Entire home/apt
150,92.0,Brooklyn,Apartment,Entire home/apt
180,90.0,Manhattan,Apartment,Private room
59,81.0,Manhattan,Apartment,Private room
99,72.0,Manhattan,Apartment,Private room
